player_id_cat,gender,date,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum
29,male,2013-08-29,0,0,18908,14533,-4375,2896,0,37705
29,male,2013-08-30,291,0,2033,1396,-637,471,0,22707
29,male,2013-08-31,201,0,359,156,-203,198,0,11957
29,male,2013-09-02,906,0,3259,2359,-900,667,0,25689
29,male,2013-09-03,219,0,328,127,-201,185,0,9060
29,male,2013-09-05,108,0,728,620,-108,108,18,8297
29,male,2013-09-14,0,0,0,0,0,0,0,2085
29,male,2013-09-15,103,0,150,47,-103,103,0,5534
29,male,2013-09-17,684,0,4871,4260,-611,587,0,20229
29,male,2013-09-18,767,0,2305,1464,-841,841,0,13606
29,male,2013-09-20,132,0,1731,2455,724,-724,30,13234
29,male,2013-09-21,235,0,6646,5556,-1090,1090,0,38163
29,male,2013-09-22,176,0,662,486,-176,176,0,7904
29,male,2013-09-23,294,0,688,453,-235,235,5,8893
29,male,2013-09-24,235,0,597,303,-294,295,0,9342
29,male,2013-09-25,112,0,211,164,-47,48,5,4064
29,male,2013-09-26,396,0,2021,1562,-459,460,0,21931
29,male,2013-09-28,284,0,1437,1153,-284,284,0,10049
29,male,2013-09-29,0,0,0,0,0,0,5,1877
29,male,2013-09-30,94,0,361,267,-94,94,0,6433
29,male,2013-10-01,0,0,0,0,0,0,0,578
29,male,2013-10-02,29,0,70,41,-29,29,0,2244
29,male,2013-10-04,29,0,43,14,-29,29,28,2259
29,male,2013-10-05,0,0,0,0,0,0,0,1910
29,male,2013-10-06,372,0,2800,2429,-371,371,0,17082
29,male,2013-10-09,1009,0,13812,12883,-929,930,0,29480
29,male,2013-10-10,1830,0,25174,23275,-1899,1880,0,53696
29,male,2013-10-11,116,0,26234,26106,-128,127,18,44096
29,male,2013-10-14,145,0,291,212,-79,78,0,7445
29,male,2013-10-15,131,0,760,563,-197,196,0,10522
29,male,2013-10-19,73,0,631,559,-72,73,0,5420
29,male,2013-10-21,816,0,7919,7103,-816,810,0,37601
29,male,2013-10-22,234,0,799,565,-234,234,0,11348
29,male,2013-10-23,307,0,1017,710,-307,307,0,24713
29,male,2013-10-24,522,0,2181,1696,-485,485,0,15253
29,male,2013-10-25,183,0,7688,7468,-220,221,34,19796
29,male,2013-10-26,293,0,1064,771,-293,240,0,11550
29,male,2013-11-04,96,0,274,188,-86,86,50,3387
29,male,2013-11-05,35,0,144,99,-45,44,0,5241
29,male,2013-11-06,88,0,203,115,-88,88,37,6820
29,male,2013-11-09,59,0,110,51,-59,59,0,2387
29,male,2013-11-12,163,0,401,238,-163,153,0,4995
29,male,2013-11-14,0,0,0,0,0,0,0,1871
29,male,2013-11-15,0,0,0,0,0,0,0,2817
29,male,2013-12-04,157,0,328,171,-157,157,0,7238
29,male,2013-12-05,60,0,214,154,-60,60,0,3004
29,male,2013-12-12,102,0,3530,3428,-102,102,0,10398
29,male,2013-12-13,413,0,2032,1619,-413,414,0,12024
29,male,2013-12-14,843,0,6867,6024,-843,843,0,11931
29,male,2013-12-15,150,0,842,692,-150,150,13,9088
29,male,2013-12-16,1572,0,12470,11743,-727,728,0,30152
32,female,2013-01-29,30,0,50,19,-31,30,28,4618
33,male,2013-09-02,87,0,496,409,-87,87,7,3520
34,male,2013-11-22,0,0,3171,2217,-954,944,0,5586
35,male,2013-12-19,3555,0,29830,26276,-3554,3546,3,37471
35,male,2013-12-20,2312,0,17734,15423,-2311,2311,27,34685
35,male,2013-12-21,603,0,5735,5131,-604,604,0,8994
35,male,2013-12-22,121,0,588,467,-121,110,27,4576
35,male,2013-12-28,451,0,1295,844,-451,451,0,5889
35,male,2013-12-29,150,1207,3039,4095,1056,-1057,37,11155
35,male,2013-12-30,0,0,0,0,0,0,0,1926
35,male,2013-12-31,0,0,0,0,0,0,0,1921
36,female,2013-08-25,87,0,159,72,-87,87,0,3020
36,female,2013-08-30,0,0,0,0,0,0,0,1857
36,female,2013-09-03,44,0,309,266,-43,44,0,760
37,male,2013-07-08,89,0,276,187,-89,76,0,2536
37,male,2013-12-08,120,0,383,263,-120,112,0,2903
39,male,2013-04-29,59,0,76,17,-59,59,0,2633
39,male,2013-05-01,59,0,87,28,-59,59,16,2617
39,male,2013-07-03,60,0,145,85,-60,59,0,4740
39,male,2013-07-05,358,271,2499,2413,-86,85,49,26812
39,male,2013-07-06,0,0,3,2,-1,1,20,8352
39,male,2013-07-08,59,0,302,251,-51,51,27,10470
39,male,2013-07-11,89,0,908,1317,409,-418,10,11641
39,male,2013-07-12,357,191,4136,3526,-610,608,0,53284
39,male,2013-07-14,89,0,188,100,-88,88,0,5121
39,male,2013-07-16,90,0,2314,2456,142,-142,4,24278
39,male,2013-07-17,209,943,2967,3472,505,-508,0,29129
39,male,2013-07-19,60,0,154,94,-60,60,0,5230
39,male,2013-07-20,238,0,2941,2917,-24,22,0,35931
39,male,2013-07-21,60,397,2899,3018,119,-119,16,52306
39,male,2013-07-22,60,211,341,492,151,-151,20,7451
39,male,2013-07-24,149,0,546,398,-148,148,27,12589
39,male,2013-07-25,2677,2279,7996,7566,-430,425,42,43589
39,male,2013-07-26,224,203,397,383,-14,14,0,19686
39,male,2013-07-27,59,0,1138,1045,-93,94,0,16933
39,male,2013-08-01,59,0,90,32,-58,59,40,3121
39,male,2013-08-04,59,0,740,795,55,-57,22,22728
39,male,2013-08-05,132,195,359,302,-57,56,0,10084
39,male,2013-08-08,146,0,31,64,33,-33,0,2700
39,male,2013-08-09,380,1275,2898,4152,1254,-1258,0,37111
39,male,2013-08-10,698,775,4591,4175,-416,413,13,57413
39,male,2013-08-11,349,0,902,827,-75,68,0,11032
39,male,2013-08-12,1380,0,9013,9155,142,-143,0,69560
39,male,2013-08-13,147,2211,3361,3913,552,-551,0,45956
39,male,2013-08-14,236,0,5399,4837,-562,562,0,40108
39,male,2013-08-15,146,90,686,630,-56,56,0,14361
39,male,2013-08-16,117,0,900,916,16,-17,0,22949
39,male,2013-08-17,117,0,1890,2087,197,-197,0,37081
39,male,2013-08-18,440,725,3868,3713,-155,155,0,65637
39,male,2013-08-19,323,0,997,1135,138,-138,0,31143
39,male,2013-08-20,556,885,3400,3344,-56,54,0,52686
39,male,2013-08-21,263,235,524,414,-110,111,44,18626
39,male,2013-08-22,854,0,4368,3514,-854,854,19,45006
39,male,2013-08-23,469,215,2109,1855,-254,254,0,28021
39,male,2013-08-24,58,0,316,258,-58,58,0,13271
39,male,2013-08-27,58,147,67,155,88,-88,7,5535
39,male,2013-08-28,88,0,170,82,-88,88,0,4723
39,male,2013-08-29,0,0,0,0,0,0,0,60
39,male,2013-08-30,145,0,232,87,-145,145,49,3939
39,male,2013-08-31,320,0,1748,1429,-319,319,0,31421
39,male,2013-09-01,0,0,1,0,-1,0,0,1980
39,male,2013-09-06,88,0,1103,1015,-88,88,46,23076
39,male,2013-09-08,117,0,794,677,-117,117,0,17252
39,male,2013-09-09,281,0,883,602,-281,281,15,14940
39,male,2013-09-13,206,311,1871,1975,104,-104,0,28357
39,male,2013-09-14,88,0,378,290,-88,88,0,10957
39,male,2013-09-15,117,0,427,310,-117,117,0,8727
39,male,2013-09-16,118,0,167,49,-118,118,0,7220
39,male,2013-09-17,80,0,100,20,-80,80,48,3229
39,male,2013-09-19,59,0,74,16,-58,59,0,2991
39,male,2013-09-20,381,301,1410,2007,597,-597,0,19435
39,male,2013-09-21,352,1686,1982,2640,658,-657,32,29938
39,male,2013-09-22,117,64,1368,1315,-53,52,0,26417
39,male,2013-09-23,117,0,176,58,-118,117,0,5830
39,male,2013-09-24,147,0,675,871,196,-196,0,11256
39,male,2013-09-25,590,995,4904,5008,104,-104,2,64907
39,male,2013-09-26,206,243,916,909,-7,6,0,24583
39,male,2013-09-27,177,0,360,184,-176,176,0,6389
39,male,2013-09-28,366,0,1152,786,-366,366,0,33051
39,male,2013-09-29,322,0,761,526,-235,236,0,19305
39,male,2013-09-30,0,0,277,189,-88,87,0,9022
39,male,2013-10-02,70,0,216,146,-70,70,0,7821
39,male,2013-10-03,58,0,106,48,-58,58,0,8799
39,male,2013-10-06,116,0,284,167,-117,116,0,6126
39,male,2013-10-09,115,441,516,854,338,-338,0,10747
39,male,2013-10-10,287,381,995,1075,80,-83,0,25813
39,male,2013-10-11,116,0,913,797,-116,116,0,21828
39,male,2013-10-14,145,0,199,150,-49,49,0,4575
39,male,2013-10-15,0,0,215,120,-95,96,0,11702
39,male,2013-10-18,233,117,387,271,-116,116,0,4682
39,male,2013-10-20,117,0,276,160,-116,116,0,5283
39,male,2013-10-21,58,0,81,22,-59,58,0,5238
39,male,2013-10-22,117,550,334,767,433,-433,0,9890
39,male,2013-10-23,439,456,2235,2293,58,-58,0,49860
39,male,2013-10-24,234,234,1202,1192,-10,10,0,27238
39,male,2013-10-25,586,61,2378,1852,-526,526,0,39929
39,male,2013-10-28,117,0,443,314,-129,130,0,13776
39,male,2013-10-30,175,163,350,338,-12,13,0,8451
39,male,2013-11-01,88,0,441,354,-87,87,0,11387
39,male,2013-11-02,116,80,80,43,-37,37,0,1007
39,male,2013-11-04,147,101,1152,1105,-47,47,0,16333
39,male,2013-11-06,118,92,563,521,-42,42,14,22254
39,male,2013-11-12,235,264,651,679,28,-28,9,16946
39,male,2013-11-13,0,0,0,0,0,0,0,1866
39,male,2013-11-16,383,0,1442,1060,-382,383,0,20880
39,male,2013-11-24,59,0,271,211,-60,59,0,11520
39,male,2013-11-25,89,438,440,789,349,-349,0,13181
39,male,2013-11-28,0,0,0,0,0,0,0,5233
39,male,2013-11-29,0,0,0,0,0,0,0,3696
39,male,2013-12-07,120,660,212,753,541,-540,0,5068
39,male,2013-12-08,120,314,54,248,194,-194,0,4172
39,male,2013-12-09,837,2991,9236,11390,2154,-2154,0,18476
39,male,2013-12-10,357,278,1418,1339,-79,79,0,10045
39,male,2013-12-12,84,230,346,491,145,-145,0,8850
39,male,2013-12-13,120,0,648,528,-120,120,0,18209
39,male,2013-12-17,2790,4063,11453,12727,1274,-1273,6,16204
39,male,2013-12-18,300,0,585,285,-300,300,0,1259
39,male,2013-12-20,781,0,2013,1232,-781,781,0,6630
39,male,2013-12-24,0,0,0,0,0,0,20,1839
39,male,2013-12-25,482,0,1065,584,-481,481,0,3120
39,male,2013-12-30,120,0,343,222,-121,121,0,1698
40,female,2013-12-06,894,0,2431,1538,-893,893,0,5443
40,female,2013-12-07,299,0,459,159,-300,300,20,2797
40,female,2013-12-10,2085,0,6917,4836,-2081,2081,47,4219
40,female,2013-12-12,1202,0,8402,7197,-1205,1205,0,15231
40,female,2013-12-13,1503,0,5065,3567,-1498,1498,16,4081
40,female,2013-12-14,3307,0,34274,30965,-3309,3308,0,14123
40,female,2013-12-15,601,0,2545,1940,-605,605,0,4633
40,female,2013-12-22,603,0,1141,538,-603,603,15,2500
40,female,2013-12-23,904,0,1634,731,-903,903,0,2553
40,female,2013-12-25,602,0,9042,8441,-601,602,0,10001
40,female,2013-12-26,0,0,2,0,-2,2,25,1847
40,female,2013-12-27,301,0,415,113,-302,301,0,2606
41,male,2013-04-02,30,0,43,13,-30,29,0,3288
