player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,female,male
1960,2079,535,11591,10046,-1545,1545,35,73326,0.0,1.0
1962,595,1699,1690,2794,1104,-1105,14,3180,0.0,1.0
1963,60,0,95,35,-60,60,31,4923,0.0,1.0
1964,667,629,1662,995,-667,666,0,20931,0.0,1.0
1966,163,0,302,140,-162,162,0,7370,0.0,1.0
1967,31,0,38,4,-34,31,12,9626,1.0,0.0
1970,59,0,887,828,-59,10,12,17297,0.0,1.0
1971,4465,5970,20787,22262,1475,-1509,99,107876,1.0,0.0
1973,1471,1312,7711,7551,-160,159,175,75967,1.0,0.0
1975,256,166,473,383,-90,90,0,2858,1.0,0.0
1976,61,0,227,175,-52,51,0,19450,1.0,0.0
1977,3563,3269,29346,29059,-287,292,324,107096,1.0,0.0
1978,6548,5858,54664,53979,-685,678,225,383303,1.0,0.0
1979,221,0,562,341,-221,220,47,16210,0.0,1.0
1980,60,0,140,80,-60,60,17,1810,0.0,1.0
1981,340,238,1998,1896,-102,0,30,43753,0.0,1.0
1982,59,0,96,37,-59,59,0,3420,1.0,0.0
1984,916,0,3972,3058,-914,911,47,37767,1.0,0.0
1986,147,0,854,667,-187,144,0,5896,0.0,1.0
1988,29,69,39,78,39,-40,0,3364,0.0,1.0
1989,653,0,950,297,-653,645,50,5078,0.0,1.0
1991,604,413,3540,3356,-184,182,46,30101,1.0,0.0
1992,58,0,274,216,-58,58,0,3621,1.0,0.0
1993,825,292,2166,1634,-532,527,154,68652,0.0,1.0
1994,30,0,309,279,-30,30,0,7859,0.0,1.0
1995,121,0,494,374,-120,120,0,5581,0.0,1.0
1997,470,151,1773,1453,-320,320,29,42893,0.0,1.0
1998,210,120,1228,1138,-90,90,0,21880,0.0,1.0
2001,0,0,18,16,-2,1,0,2077,0.0,1.0
2002,2045,1510,6532,5998,-534,497,86,52911,0.0,1.0
2003,472,0,1797,1325,-472,473,102,50249,1.0,0.0
2004,9852,2934,48164,41248,-6916,6889,125,93887,0.0,1.0
2007,24852,0,266483,240754,-25729,23091,59,183511,0.0,1.0
2009,1664,1413,19460,19193,-267,250,10,155259,1.0,0.0
2010,182,0,724,542,-182,43,0,11508,0.0,1.0
2012,45,0,155,110,-45,45,0,4221,0.0,1.0
2013,89,0,169,81,-88,88,0,3742,1.0,0.0
2014,23660,24851,52710,54456,1746,-1766,893,779279,0.0,1.0
2015,299,487,686,874,188,-188,44,13738,1.0,0.0
2017,0,0,137,214,77,-77,12,10972,0.0,1.0
2018,60,0,158,98,-60,60,39,3169,0.0,1.0
2019,29,0,53,21,-32,29,0,2701,1.0,0.0
2020,329,0,1308,979,-329,328,0,21376,0.0,1.0
2022,30,0,634,437,-197,198,35,24334,1.0,0.0
2023,187,0,487,300,-187,186,45,7640,0.0,1.0
2024,150,0,616,466,-150,150,0,4022,1.0,0.0
2025,29,0,175,148,-27,28,47,7123,0.0,1.0
2027,337,0,705,364,-341,337,0,8097,0.0,1.0
2028,146,59,616,528,-88,87,0,10273,0.0,1.0
2030,220,0,509,290,-219,220,57,15247,0.0,1.0
2031,75,271,81,277,196,-204,0,433,0.0,1.0
2032,21163,17200,93833,89826,-4007,3890,1323,1044235,0.0,1.0
2034,60,0,168,111,-57,57,14,6027,0.0,1.0
2036,150,0,234,84,-150,150,14,7120,0.0,1.0
2037,271,212,3157,3098,-59,55,36,16175,1.0,0.0
2038,30,0,30,0,-30,30,0,3590,0.0,1.0
2040,59,382,1141,1547,406,-406,0,9685,0.0,1.0
2041,60,0,1085,1025,-60,60,0,17546,1.0,0.0
2042,60,0,153,94,-59,59,0,2757,0.0,1.0
2043,1148,806,4568,4227,-341,341,43,53958,0.0,1.0
2044,3138,1833,13714,12349,-1365,1297,187,163155,0.0,1.0
2045,326,235,732,640,-92,91,45,8365,0.0,1.0
2048,161,0,1936,1673,-263,226,18,12388,1.0,0.0
2049,45,0,45,1,-44,45,0,12002,0.0,1.0
2052,851,0,1911,1052,-859,838,45,27878,1.0,0.0
2053,13842,1606,124492,112209,-12283,12244,829,584167,0.0,1.0
2054,150,148,1895,1859,-36,1,340,63761,0.0,1.0
2055,119,0,231,113,-118,119,0,2330,0.0,1.0
2057,235,0,403,169,-234,235,38,9077,1.0,0.0
2058,498,0,2798,2300,-498,498,0,2773,0.0,1.0
2059,151,0,409,259,-150,114,16,3242,0.0,1.0
2060,6077,4265,21245,19396,-1849,1811,33,77535,0.0,1.0
2061,5406,9411,45096,49101,4005,-4005,19,15132,1.0,0.0
2062,176,0,685,509,-176,116,0,2495,0.0,1.0
2064,30,0,34,4,-30,30,44,4230,0.0,1.0
2066,150,0,553,405,-148,148,0,4022,1.0,0.0
2067,263,0,860,597,-263,262,0,9798,1.0,0.0
2068,6593,13574,82338,83960,1622,-6944,152,504993,0.0,1.0
2069,1495,614,11102,10220,-882,875,20,148971,0.0,1.0
2070,60,302,141,383,242,-249,0,1385,0.0,1.0
2071,46003,36071,226413,216661,-9752,9743,1130,1412945,1.0,0.0
2072,1536,565,4194,3196,-998,966,0,60889,0.0,1.0
2076,609,1837,1698,2926,1228,-1228,0,3386,0.0,1.0
2077,44,0,59,15,-44,44,48,3208,1.0,0.0
2082,30,0,388,359,-29,29,0,5796,0.0,1.0
2083,90,302,575,786,211,-211,0,2704,0.0,1.0
2087,75,60,119,106,-13,13,41,6238,1.0,0.0
2088,405,0,2925,2491,-434,359,241,118694,0.0,1.0
2093,138,0,980,842,-138,136,50,49804,1.0,0.0
2094,511,0,4920,4411,-509,453,14,21677,0.0,1.0
2095,539,301,1070,833,-237,227,110,42418,1.0,0.0
2096,1649,0,8360,6710,-1650,1649,44,58420,1.0,0.0
2097,89,0,127,38,-89,88,62,8238,1.0,0.0
2098,60,0,539,479,-60,60,0,3454,0.0,1.0
2099,1120,0,7881,6707,-1174,1086,78,29341,1.0,0.0
2103,146,207,593,654,61,-61,0,12097,0.0,1.0
2106,195,631,383,819,436,-437,33,5647,1.0,0.0
2107,120,210,1052,1142,90,-124,0,3947,1.0,0.0
2108,1023,0,4454,3400,-1054,1023,0,29219,1.0,0.0
